drg_code,service_line
909,Behavioral Health
913,Behavioral Health
914,Behavioral Health
915,Behavioral Health
916,Behavioral Health
917,Behavioral Health
918,Behavioral Health
919,Behavioral Health
920,Behavioral Health
921,Behavioral Health
922,Behavioral Health
923,Behavioral Health
927,Trauma / Burns
928,Trauma / Burns
929,Trauma / Burns
933,Trauma / Burns
934,Trauma / Burns
935,Trauma / Burns
939,Other Medical
940,Other Medical
941,Other Medical
945,Infectious Disease
946,Infectious Disease
949,Other Medical
950,Other Medical
951,Other Medical
955,Other Medical
956,Other Medical
957,Other Medical
958,Other Medical
959,Other Medical
963,Other Medical
964,Other Medical
965,Other Medical
969,Other Medical
970,Other Medical
974,Other Medical
975,Other Medical
976,Other Medical
977,Other Medical
981,Other Medical
982,Other Medical
983,Other Medical
984,Other Medical
985,Other Medical
986,Other Medical
987,Other Medical
988,Other Medical
989,Other Medical
998,Other Medical
999,Other Medical
